Date,Price,Open,High,Low,Vol.,Change %
6-Feb-18,781.6,698.62,798.7,566,790.23K,11.88
5-Feb-18,698.62,827.9,858,641.01,547.57K,-15.83
4-Feb-18,829.98,972.19,972.69,776,340.10K,-14.65
3-Feb-18,972.4,923.2,999,845,211.35K,5.32
2-Feb-18,923.3,"1,036.20","1,038.70",769.99,520.79K,-10.9
1-Feb-18,"1,036.30","1,120.70","1,167.00",985.01,285.60K,-7.58
31-Jan-18,"1,121.30","1,076.80","1,128.70","1,027.80",136.70K,4.21
30-Jan-18,"1,076.00","1,174.30","1,178.80","1,041.00",246.88K,-8.43
29-Jan-18,"1,175.00","1,245.50","1,259.80","1,155.90",139.56K,-5.74
28-Jan-18,"1,246.60","1,114.70","1,264.80","1,109.00",189.36K,11.82
27-Jan-18,"1,114.80","1,046.90","1,125.30","1,031.60",105.76K,6.48
26-Jan-18,"1,047.00","1,048.20","1,078.60",983,138.71K,-0.11
25-Jan-18,"1,048.20","1,061.80","1,102.40","1,025.10",162.09K,-1.41
24-Jan-18,"1,063.20",982.11,"1,068.80",952.04,173.18K,8.16
23-Jan-18,982.98,995.26,"1,022.00",905.38,228.08K,-1.22
22-Jan-18,995.08,"1,047.00","1,084.10",912.76,238.82K,-4.96
21-Jan-18,"1,047.00","1,146.30","1,146.30","1,001.50",197.63K,-8.64
20-Jan-18,"1,146.00","1,032.60","1,160.00","1,029.60",163.86K,10.98
19-Jan-18,"1,032.60",993.92,"1,079.00",960.1,174.91K,3.8
18-Jan-18,994.81,"1,020.10","1,079.00",940,374.07K,-2.23
17-Jan-18,"1,017.50","1,019.60","1,088.30",770.1,686.58K,-0.25
16-Jan-18,"1,020.10","1,275.80","1,278.80",868.98,672.02K,-19.89
15-Jan-18,"1,273.40","1,349.90","1,377.90","1,264.40",137.68K,-5.67
14-Jan-18,"1,350.00","1,379.90","1,385.00","1,256.00",176.75K,-2.17
13-Jan-18,"1,380.00","1,257.00","1,423.20","1,252.60",202.78K,9.77
12-Jan-18,"1,257.20","1,135.10","1,285.00","1,083.40",209.24K,10.72
11-Jan-18,"1,135.50","1,245.90","1,331.80","1,102.50",360.57K,-9.01
10-Jan-18,"1,248.00","1,285.70","1,381.90","1,203.20",380.43K,-2.78
9-Jan-18,"1,283.70","1,129.40","1,299.00","1,119.10",296.90K,13.67
8-Jan-18,"1,129.30","1,115.90","1,225.00",968.12,439.43K,1.21
7-Jan-18,"1,115.80","1,004.30","1,116.00",999.5,199.83K,11.1
6-Jan-18,"1,004.30",962.77,"1,014.20",951.38,127.79K,4.31
5-Jan-18,962.77,939.3,"1,023.60",930,298.24K,2.42
4-Jan-18,940,942.01,997,893.24,348.62K,-0.21
3-Jan-18,942.01,858.78,954.73,840,310.54K,9.69
