Date,Price,Open,High,Low,Vol.,Change %
6-Feb-18,0.76,0.683,0.78,0.57397,29.79M,11.27
5-Feb-18,0.683,0.81243,0.83394,0.6401,20.99M,-15.68
4-Feb-18,0.81,0.96,0.97,0.781,10.29M,-15.62
3-Feb-18,0.96,0.90595,1.01566,0.78,12.52M,5.96
2-Feb-18,0.90598,0.95,0.95876,0.67366,35.10M,-4.63
1-Feb-18,0.95,1.141,1.14222,0.90746,11.59M,-16.53
31-Jan-18,1.13818,1.11314,1.15091,1.023,4.66M,2.17
30-Jan-18,1.114,1.273,1.273,1.09334,8.90M,-12.7
29-Jan-18,1.27605,1.35924,1.37687,1.252,4.55M,-6.37
28-Jan-18,1.3628,1.22002,1.4,1.21356,6.60M,11.7
27-Jan-18,1.22002,1.205,1.24,1.1705,3.28M,1.25
26-Jan-18,1.205,1.3065,1.32469,1.10784,13.15M,-7.38
25-Jan-18,1.301,1.3572,1.38015,1.2771,5.66M,-4
24-Jan-18,1.35522,1.32,1.41594,1.2851,10.12M,2.67
23-Jan-18,1.32,1.34,1.43254,1.178,17.17M,-1.59
22-Jan-18,1.34126,1.36,1.41,1.135,19.26M,-1.14
21-Jan-18,1.3567,1.56,1.561,1.30407,14.86M,-13.03
20-Jan-18,1.56,1.527,1.62,1.47,9.19M,2.63
19-Jan-18,1.52,1.53321,1.66199,1.455,15.05M,-1.87
18-Jan-18,1.549,1.3,1.71,1.221,36.71M,20.08
17-Jan-18,1.29,1.14,1.37,0.85645,51.83M,13.16
16-Jan-18,1.14,1.65476,1.67874,0.845,44.59M,-30.95
15-Jan-18,1.651,1.833,1.88073,1.62,4.46M,-9.78
14-Jan-18,1.83,1.98005,1.98005,1.7333,4.87M,-7.86
13-Jan-18,1.98602,2.02,2.0911,1.95,4.79M,-1.68
12-Jan-18,2.02,1.914,2.1598,1.80889,10.59M,4.45
11-Jan-18,1.93395,1.94,2.25219,1.519,36.20M,-0.31
10-Jan-18,1.94,2.05,2.12,1.61,22.49M,-5.37
9-Jan-18,2.05,2.39,2.48,1.9,11.13M,-14.23
8-Jan-18,2.39,2.76,2.76,1.89,14.84M,-13.41
7-Jan-18,2.76,2.64,2.8,2.57,4.41M,4.55
6-Jan-18,2.64,2.52,2.85,2.45,5.56M,3.94
5-Jan-18,2.54,2.74,3.08,2.25,21.45M,-7.3
4-Jan-18,2.74,2.74,3.3,2.48,27.11M,0
3-Jan-18,2.74,2.19,2.89,2.15,22.77M,25.11
2-Jan-18,2.19,2.03,2.22,1.9,14.29M,7.88
1-Jan-18,2.03,1.96,2.1,1.8,8.51M,3.57
31-Dec-17,1.96,1.82,2.1,1.61,20.22M,7.69
30-Dec-17,1.82,1.9,2.79,1.74,50.87M,-4.21
29-Dec-17,1.9,1.25,1.97,1.25,43.58M,52
28-Dec-17,1.25,1.21,1.33,1.06,25.93M,3.31
27-Dec-17,1.21,1.08,1.29,1.06,26.14M,12.04
26-Dec-17,1.08,0.98,1.09,0.961,10.29M,10.2
25-Dec-17,0.98,0.97,1.02,0.9142,7.47M,1.03
24-Dec-17,0.97,0.9931,0.998,0.8106,19.93M,-2.33
23-Dec-17,0.9931,1.01,1.07,0.917,20.36M,-1.67
22-Dec-17,1.01,1.12,1.24,0.65,84.54M,-9.82
21-Dec-17,1.12,0.708,1.19,0.708,57.25M,58.19
20-Dec-17,0.708,0.73,0.75,0.617,19.70M,-3.01
19-Dec-17,0.73,0.7528,0.839,0.7,24.03M,-3.03
18-Dec-17,0.7528,0.71,0.792,0.664,20.48M,6.03
17-Dec-17,0.71,0.74,0.752,0.7009,14.37M,-4.05
16-Dec-17,0.74,0.7373,0.8156,0.72,23.60M,0.37
15-Dec-17,0.7373,0.834,0.837,0.613,53.33M,-11.59
14-Dec-17,0.834,0.455,0.8732,0.4472,83.59M,83.3
13-Dec-17,0.455,0.3785,0.4944,0.325,84.43M,20.21
12-Dec-17,0.3785,0.245,0.46,0.2442,67.34M,54.49
11-Dec-17,0.245,0.2297,0.2474,0.2296,13.36M,6.66
10-Dec-17,0.2297,0.238,0.238,0.22,10.90M,-3.49
9-Dec-17,0.238,0.2328,0.2473,0.2288,14.75M,2.23
8-Dec-17,0.2328,0.2023,0.279,0.197,47.01M,15.08
7-Dec-17,0.2023,0.2157,0.2188,0.2,21.24M,-6.21
6-Dec-17,0.2157,0.233,0.236,0.2064,22.51M,-7.42
5-Dec-17,0.233,0.246,0.2465,0.2321,12.88M,-5.28
4-Dec-17,0.246,0.2452,0.25,0.235,8.35M,0.33
3-Dec-17,0.2452,0.244,0.26,0.2349,15.73M,0.49
2-Dec-17,0.244,0.246,0.25,0.24,7.66M,-0.81
1-Dec-17,0.246,0.236,0.25,0.2246,11.40M,4.24
30-Nov-17,0.236,0.2365,0.25,0.2181,15.38M,-0.21
29-Nov-17,0.2365,0.279,0.279,0.218,36.08M,-15.23
28-Nov-17,0.279,0.247,0.2814,0.2465,31.01M,12.96
27-Nov-17,0.247,0.2428,0.2488,0.2372,11.70M,1.73
26-Nov-17,0.2428,0.247,0.248,0.24,10.72M,-1.7
25-Nov-17,0.247,0.24,0.2515,0.2379,11.79M,2.92
24-Nov-17,0.24,0.24,0.2434,0.2301,14.36M,0
23-Nov-17,0.24,0.239,0.25,0.235,14.00M,0.42
22-Nov-17,0.239,0.232,0.242,0.2318,11.37M,3.02
21-Nov-17,0.232,0.2408,0.2444,0.2291,12.94M,-3.65
20-Nov-17,0.2408,0.232,0.2465,0.232,12.96M,3.79
19-Nov-17,0.232,0.2274,0.2369,0.2233,14.50M,2.02
18-Nov-17,0.2274,0.2225,0.2293,0.218,10.47M,2.2
17-Nov-17,0.2225,0.2276,0.242,0.2161,15.91M,-2.24
16-Nov-17,0.2276,0.2087,0.29,0.2054,72.73M,9.06
15-Nov-17,0.2087,0.205,0.2096,0.203,7.32M,1.8
14-Nov-17,0.205,0.2,0.21,0.199,5.69M,2.5
13-Nov-17,0.2,0.192,0.2005,0.19,11.71M,4.17
12-Nov-17,0.192,0.2098,0.2098,0.1841,30.41M,-8.48
11-Nov-17,0.2098,0.2022,0.214,0.2007,10.93M,3.76
