,Compounds,Neg,Neu,Pos,Date
0,0.243702976,0.046883929,0.827416667,0.125717262,"['december', '10', '2017']"
1,0.232836887,0.040673435,0.830798646,0.128531303,"['december', '11', '2017']"
2,0.196553756,0.044517606,0.838239437,0.117252347,"['december', '12', '2017']"
3,0.208199378,0.043121891,0.831312189,0.125569652,"['december', '13', '2017']"
4,0.198583101,0.055600559,0.814141061,0.130273743,"['december', '14', '2017']"
5,0.202853102,0.045899635,0.826956204,0.127149635,"['december', '15', '2017']"
6,0.17674576,0.050890459,0.824681979,0.124429329,"['december', '16', '2017']"
7,0.204331797,0.051639017,0.810463902,0.136360983,"['december', '17', '2017']"
8,0.193444746,0.048114522,0.819970484,0.130743802,"['december', '18', '2017']"
9,0.147753775,0.053057886,0.826333054,0.119782718,"['december', '19', '2017']"
10,0.210122137,0.045427481,0.853519084,0.101053435,"['december', '1', '2017']"
11,0.160272075,0.055322153,0.815121685,0.127223869,"['december', '20', '2017']"
12,0.161376301,0.056547688,0.819104046,0.123632948,"['december', '21', '2017']"
13,0.117665574,0.067870164,0.812285902,0.11919541,"['december', '22', '2017']"
14,0.15881087,0.062374506,0.80276581,0.133866601,"['december', '23', '2017']"
15,0.185124377,0.054997833,0.806752979,0.137176598,"['december', '24', '2017']"
16,0.175753234,0.057987275,0.805656416,0.136369035,"['december', '25', '2017']"
17,0.176468304,0.049366071,0.824526786,0.125221429,"['december', '26', '2017']"
18,0.195714286,0.055285714,0.798728863,0.145989067,"['december', '27', '2017']"
19,0.191470807,0.048884058,0.801730159,0.148694272,"['december', '28', '2017']"
20,0.139099088,0.057768248,0.816596107,0.12320073,"['december', '29', '2017']"
21,0.250085641,0.036184615,0.836112821,0.127692308,"['december', '2', '2017']"
22,0.135735324,0.061622302,0.815022302,0.121908633,"['december', '30', '2017']"
23,0.175364665,0.054774571,0.809233229,0.134425117,"['december', '31', '2017']"
24,0.180872727,0.048073593,0.847835498,0.104082251,"['december', '3', '2017']"
25,0.192237443,0.050920091,0.824707763,0.12436758,"['december', '4', '2017']"
26,0.155919769,0.059439868,0.808840198,0.126771005,"['december', '6', '2017']"
27,0.163492857,0.053811847,0.824630662,0.121567944,"['december', '7', '2017']"
28,0.208241667,0.041945238,0.841421429,0.116647619,"['december', '8', '2017']"
29,0.220379452,0.048230594,0.809440639,0.142328767,"['december', '9', '2017']"
30,0.059896308,0.07992749,0.799179548,0.11849668,"['february', '2', '2018']"
31,0.094977957,0.069398181,0.806926522,0.120881735,"['february', '3', '2018']"
32,0.06829583,0.079247952,0.799594192,0.120407297,"['february', '4', '2018']"
33,0.049921357,0.090539309,0.792699549,0.116515023,"['february', '5', '2018']"
34,0.073824701,0.084295967,0.788180529,0.127244506,"['february', '6', '2018']"
35,0.131295304,0.066371339,0.797047446,0.134404018,"['january', '10', '2018']"
36,0.137172015,0.06450567,0.799520347,0.133314543,"['january', '11', '2018']"
37,0.154931241,0.058410982,0.805418145,0.13379161,"['january', '12', '2018']"
38,0.134744026,0.066157136,0.80855788,0.124351929,"['january', '13', '2018']"
39,0.156753109,0.067129412,0.793559664,0.139305882,"['january', '14', '2018']"
40,0.117792033,0.070599504,0.802643059,0.126057365,"['january', '15', '2018']"
41,0.088806911,0.075669923,0.797261334,0.125780686,"['january', '16', '2018']"
42,0.089903956,0.078595825,0.790016899,0.129405567,"['january', '17', '2018']"
43,0.122398382,0.071142068,0.805829519,0.122638122,"['january', '18', '2018']"
44,0.1429849,0.06573396,0.806900996,0.126261615,"['january', '19', '2018']"
45,0.19122218,0.052086466,0.812822682,0.135096491,"['january', '1', '2018']"
46,0.155370139,0.056775623,0.817987258,0.124126316,"['january', '20', '2018']"
47,0.144188394,0.060834008,0.809794872,0.128712551,"['january', '21', '2018']"
48,0.109830534,0.073843619,0.798707657,0.124669142,"['january', '22', '2018']"
49,0.123408325,0.063799193,0.816764379,0.116915237,"['january', '23', '2018']"
50,0.112689919,0.072349025,0.796185925,0.127181645,"['january', '24', '2018']"
51,0.110986806,0.06295403,0.818214925,0.11526209,"['january', '25', '2018']"
52,0.109878489,0.069383001,0.804187303,0.124332634,"['january', '26', '2018']"
53,0.132820882,0.055816912,0.823303676,0.1186875,"['january', '27', '2018']"
54,0.11903,0.065364286,0.81592987,0.118700649,"['january', '28', '2018']"
55,0.125777257,0.060464447,0.826108352,0.112863995,"['january', '29', '2018']"
56,0.180980693,0.050254963,0.820513429,0.128894081,"['january', '2', '2018']"
57,0.067461736,0.079477115,0.795051629,0.122906261,"['january', '30', '2018']"
58,0.162209504,0.05443538,0.815958789,0.128767872,"['january', '3', '2018']"
59,0.1502967,0.053596154,0.820298857,0.125589917,"['january', '4', '2018']"
60,0.162952832,0.053959036,0.81360323,0.131733848,"['january', '5', '2018']"
61,0.157287594,0.053137334,0.816438546,0.128979227,"['january', '6', '2018']"
62,0.161013184,0.056247839,0.81382781,0.129925072,"['january', '7', '2018']"
63,0.154712799,0.058588061,0.803772777,0.136549773,"['january', '8', '2018']"
64,0.21205,0.043263566,0.814445736,0.142271318,"['january', '9', '2018']"
65,0.141986713,0.065405594,0.822643357,0.111923077,"['november', '10', '2017']"
66,0.213210526,0.06756391,0.790887218,0.141556391,"['november', '11', '2017']"
67,0.192344444,0.074309524,0.797055556,0.128650794,"['november', '12', '2017']"
68,0.241400862,0.034413793,0.831456897,0.134155172,"['november', '13', '2017']"
69,0.212508209,0.05591791,0.819119403,0.124985075,"['november', '14', '2017']"
70,0.214962179,0.068967949,0.804852564,0.126185897,"['november', '15', '2017']"
71,0.158588439,0.065589595,0.821098266,0.113294798,"['november', '16', '2017']"
72,0.169543939,0.061568182,0.829363636,0.109075758,"['november', '17', '2017']"
73,0.143544643,0.057089286,0.833133929,0.109776786,"['november', '18', '2017']"
74,0.29378631,0.043934524,0.814452381,0.141613095,"['november', '19', '2017']"
75,0.138935227,0.062585227,0.824204545,0.113238636,"['november', '1', '2017']"
76,0.179410506,0.069564202,0.812937743,0.117501946,"['november', '20', '2017']"
77,0.204206855,0.039721774,0.837157258,0.123116935,"['november', '21', '2017']"
78,0.206161137,0.052180095,0.805701422,0.132649289,"['november', '22', '2017']"
79,0.22131866,0.053004785,0.807220096,0.139808612,"['november', '23', '2017']"
80,0.188886528,0.051284974,0.790305699,0.153233161,"['november', '24', '2017']"
81,0.201404145,0.054072539,0.827751295,0.118181347,"['november', '25', '2017']"
82,0.177585124,0.068640496,0.817512397,0.109710744,"['november', '26', '2017']"
83,0.215522939,0.056795699,0.80109319,0.142121864,"['november', '27', '2017']"
84,0.242276667,0.055958333,0.818952778,0.125097222,"['november', '28', '2017']"
85,0.12558129,0.062896774,0.817905376,0.1192,"['november', '29', '2017']"
86,0.106259398,0.054796992,0.816894737,0.128308271,"['november', '2', '2017']"
87,0.208196482,0.053889447,0.79779397,0.148316583,"['november', '30', '2017']"
88,0.138158974,0.108529915,0.776581197,0.114888889,"['november', '3', '2017']"
89,0.226902532,0.058417722,0.837620253,0.103974684,"['november', '4', '2017']"
90,0.228105882,0.034529412,0.855088235,0.110392157,"['november', '5', '2017']"
91,0.185318898,0.051669291,0.840047244,0.108283465,"['november', '6', '2017']"
92,0.21865,0.040315068,0.836260274,0.123417808,"['november', '7', '2017']"
93,0.18508764,0.066320225,0.777438202,0.156235955,"['november', '8', '2017']"
94,0.225191954,0.053586207,0.808310345,0.138114943,"['november', '9', '2017']"
95,0.224352727,0.049418182,0.823672727,0.126836364,"['october', '10', '2017']"
96,0.351835484,0.044322581,0.814322581,0.14133871,"['october', '11', '2017']"
97,0.165794667,0.067346667,0.83992,0.092706667,"['october', '12', '2017']"
98,0.186642466,0.042246575,0.850260274,0.107506849,"['october', '13', '2017']"
99,0.112028,0.0506,0.8521,0.09734,"['october', '14', '2017']"
100,0.249263291,0.051265823,0.831506329,0.117202532,"['october', '15', '2017']"
101,0.194973684,0.059197368,0.808434211,0.132342105,"['october', '16', '2017']"
102,0.193033613,0.056403361,0.816361345,0.127201681,"['october', '17', '2017']"
103,0.172550909,0.061018182,0.826281818,0.112672727,"['october', '18', '2017']"
104,0.142758333,0.05495,0.8271,0.117933333,"['october', '19', '2017']"
105,0.157383333,0.072638889,0.807638889,0.119722222,"['october', '1', '2017']"
106,0.179732051,0.059038462,0.839641026,0.101333333,"['october', '20', '2017']"
107,0.373233333,0.006166667,0.831833333,0.162,"['october', '21', '2017']"
108,0.233658621,0.042241379,0.809155172,0.148551724,"['october', '22', '2017']"
109,0.089952778,0.049888889,0.871574074,0.078583333,"['october', '23', '2017']"
110,0.185784496,0.055449612,0.827852713,0.11672093,"['october', '24', '2017']"
111,0.131791304,0.051434783,0.841130435,0.107442029,"['october', '25', '2017']"
112,0.156990667,0.056533333,0.796106667,0.147373333,"['october', '26', '2017']"
113,0.207309722,0.053680556,0.848736111,0.097583333,"['october', '27', '2017']"
114,0.215706522,0.038521739,0.839652174,0.121847826,"['october', '28', '2017']"
115,0.252374627,0.059985075,0.777104478,0.162910448,"['october', '29', '2017']"
