,Compounds,Neg,Neu,Pos,Date,Price_BTC,Open_BTC,High_BTC,Low_BTC,Pecent_Delta_BTC
34,0.073824701,0.084295967,0.788180529,0.127244506,6-Feb-18,"7,673.80","6,946.60","7,860.00","6,000.00",10.42
33,0.049921357,0.090539309,0.792699549,0.116515023,5-Feb-18,"6,949.90","8,185.20","8,378.00","6,658.80",-15.25
32,0.06829583,0.079247952,0.799594192,0.120407297,4-Feb-18,"8,200.00","9,225.10","9,403.30","7,840.00",-11.06
31,0.094977957,0.069398181,0.806926522,0.120881735,3-Feb-18,"9,219.40","8,887.10","9,495.00","8,189.60",3.64
30,0.059896308,0.07992749,0.799179548,0.11849668,2-Feb-18,"8,895.80","9,181.00","9,201.00","7,972.20",-3.11
57,0.067461736,0.079477115,0.795051629,0.122906261,30-Jan-18,"10,175.00","11,215.00","11,250.00","9,864.90",-9.25
55,0.125777257,0.060464447,0.826108352,0.112863995,29-Jan-18,"11,212.00","11,836.00","11,957.00","11,074.00",-5.3
54,0.11903,0.065364286,0.81592987,0.118700649,28-Jan-18,"11,839.00","11,455.10","12,181.00","11,398.00",3.3
53,0.132820882,0.055816912,0.823303676,0.1186875,27-Jan-18,"11,461.00","11,068.00","11,683.00","10,822.00",3.53
52,0.109878489,0.069383001,0.804187303,0.124332634,26-Jan-18,"11,070.00","11,144.00","11,647.00","10,298.00",-0.68
51,0.110986806,0.06295403,0.818214925,0.11526209,25-Jan-18,"11,146.00","11,402.00","11,723.00","10,857.00",-2.35
50,0.112689919,0.072349025,0.796185925,0.127181645,24-Jan-18,"11,414.00","10,811.00","11,529.00","10,454.00",5.5
49,0.123408325,0.063799193,0.816764379,0.116915237,23-Jan-18,"10,819.00","10,770.00","11,383.00","9,901.10",0.45
48,0.109830534,0.073843619,0.798707657,0.124669142,22-Jan-18,"10,771.00","11,519.00","11,886.00","10,009.00",-6.45
47,0.144188394,0.060834008,0.809794872,0.128712551,21-Jan-18,"11,514.00","12,732.00","12,732.00","11,020.00",-9.54
46,0.155370139,0.056775623,0.817987258,0.124126316,20-Jan-18,"12,728.00","11,462.00","13,002.00","11,425.00",10.91
44,0.1429849,0.06573396,0.806900996,0.126261615,19-Jan-18,"11,476.00","11,036.00","11,879.00","10,649.00",3.9
43,0.122398382,0.071142068,0.805829519,0.122638122,18-Jan-18,"11,045.00","11,101.00","11,881.00","10,515.00",-0.33
42,0.089903956,0.078595825,0.790016899,0.129405567,17-Jan-18,"11,082.00","11,059.00","11,490.00","9,231.10",0.09
41,0.088806911,0.075669923,0.797261334,0.125780686,16-Jan-18,"11,072.00","13,594.00","13,604.00","9,949.40",-18.44
40,0.117792033,0.070599504,0.802643059,0.126057365,15-Jan-18,"13,575.00","13,558.00","14,350.00","13,307.00",0.13
39,0.156753109,0.067129412,0.793559664,0.139305882,14-Jan-18,"13,558.00","14,190.00","14,391.00","12,874.30",-4.46
38,0.134744026,0.066157136,0.80855788,0.124351929,13-Jan-18,"14,191.00","13,794.00","14,580.00","13,760.00",2.96
37,0.154931241,0.058410982,0.805418145,0.13379161,12-Jan-18,"13,783.00","13,248.00","14,095.00","12,778.00",3.9
36,0.137172015,0.06450567,0.799520347,0.133314543,11-Jan-18,"13,266.00","14,895.00","14,949.80","12,639.00",-10.94
35,0.131295304,0.066371339,0.797047446,0.134404018,10-Jan-18,"14,896.00","14,426.00","14,896.00","13,338.00",3.28
64,0.21205,0.043263566,0.814445736,0.142271318,9-Jan-18,"14,423.00","14,902.00","15,355.00","14,122.00",-3.4
63,0.154712799,0.058588061,0.803772777,0.136549773,8-Jan-18,"14,930.00","16,216.00","16,279.00","13,760.00",-7.82
62,0.161013184,0.056247839,0.81382781,0.129925072,7-Jan-18,"16,196.00","17,163.00","17,176.00","15,726.00",-5.62
61,0.157287594,0.053137334,0.816438546,0.128979227,6-Jan-18,"17,161.00","16,911.00","17,252.00","16,251.00",1.44
60,0.162952832,0.053959036,0.81360323,0.131733848,5-Jan-18,"16,917.00","15,159.00","17,101.00","14,769.00",11.59
59,0.1502967,0.053596154,0.820298857,0.125589917,4-Jan-18,"15,160.00","15,150.00","15,390.00","14,064.00",0.03
58,0.162209504,0.05443538,0.815958789,0.128767872,3-Jan-18,"15,155.00","14,713.00","15,428.00","14,522.00",3.03
56,0.180980693,0.050254963,0.820513429,0.128894081,2-Jan-18,"14,709.80","13,448.00","15,300.00","12,810.00",10.15
45,0.19122218,0.052086466,0.812822682,0.135096491,1-Jan-18,"13,354.00","13,794.00","13,893.00","12,787.00",-3.23
23,0.175364665,0.054774571,0.809233229,0.134425117,31-Dec-17,"13,800.00","12,385.00","14,140.00","12,183.90",11.5
22,0.135735324,0.061622302,0.815022302,0.121908633,30-Dec-17,"12,377.00","14,308.00","14,403.00","11,690.00",-13.55
20,0.139099088,0.057768248,0.816596107,0.12320073,29-Dec-17,"14,317.00","14,323.00","15,105.00","13,847.00",0.01
19,0.191470807,0.048884058,0.801730159,0.148694272,28-Dec-17,"14,315.00","15,374.00","15,467.00","13,232.00",-6.89
18,0.195714286,0.055285714,0.798728863,0.145989067,27-Dec-17,"15,374.00","15,680.00","16,494.00","14,463.00",-1.95
17,0.176468304,0.049366071,0.824526786,0.125221429,26-Dec-17,"15,679.00","13,627.00","16,048.00","13,550.00",15.09
16,0.175753234,0.057987275,0.805656416,0.136369035,25-Dec-17,"13,623.00","13,517.00","14,278.00","12,678.00",1.09
