,Compounds,Neg,Neu,Pos,Date,Price_BTC,Open_BTC,High_BTC,Low_BTC,Pecent_Delta_BTC
23,0.214421772,0.043327327,0.846082583,0.110581081,31-Dec-17,"7,673.80","6,946.60","7,860.00","6,000.00",10.42
22,0.164927426,0.059687764,0.83390436,0.106405063,30-Dec-17,"6,949.90","8,185.20","8,378.00","6,658.80",-15.25
20,0.134692388,0.055823529,0.847602076,0.096581315,29-Dec-17,"8,200.00","9,225.10","9,403.30","7,840.00",-11.06
19,0.172202316,0.05493188,0.842202997,0.102877384,28-Dec-17,"9,219.40","8,887.10","9,495.00","8,189.60",3.64
18,0.178621622,0.060382432,0.831824324,0.107794595,27-Dec-17,"8,895.80","9,181.00","9,201.00","7,972.20",-3.11
17,0.219206567,0.043763602,0.856776735,0.099465291,26-Dec-17,"10,175.00","11,215.00","11,250.00","9,864.90",-9.25
16,0.230835382,0.048409683,0.8166946,0.133035382,25-Dec-17,"11,212.00","11,836.00","11,957.00","11,074.00",-5.3
15,0.239733409,0.047670455,0.826120455,0.123925,24-Dec-17,"11,839.00","11,455.10","12,181.00","11,398.00",3.3
14,0.172186988,0.056181818,0.833572193,0.110272727,23-Dec-17,"11,461.00","11,068.00","11,683.00","10,822.00",3.53
13,0.110644111,0.070642032,0.815982679,0.112218245,22-Dec-17,"11,070.00","11,144.00","11,647.00","10,298.00",-0.68
12,0.165763636,0.05370516,0.838487715,0.107792383,21-Dec-17,"11,146.00","11,402.00","11,723.00","10,857.00",-2.35
11,0.134275184,0.056696035,0.853881057,0.08941116,20-Dec-17,"11,414.00","10,811.00","11,529.00","10,454.00",5.5
9,0.12216848,0.0697894,0.830061367,0.100161785,19-Dec-17,"10,819.00","10,770.00","11,383.00","9,901.10",0.45
8,0.216205696,0.040291139,0.848976793,0.110740506,18-Dec-17,"10,771.00","11,519.00","11,886.00","10,009.00",-6.45
7,0.206754902,0.036515406,0.863585434,0.099896359,17-Dec-17,"11,514.00","12,732.00","12,732.00","11,020.00",-9.54
6,0.190484866,0.047551929,0.846896142,0.105563798,16-Dec-17,"12,728.00","11,462.00","13,002.00","11,425.00",10.91
5,0.269820805,0.030281879,0.852560403,0.117154362,15-Dec-17,"11,476.00","11,036.00","11,879.00","10,649.00",3.9
4,0.227508616,0.038438642,0.855046997,0.103900783,14-Dec-17,"11,045.00","11,101.00","11,881.00","10,515.00",-0.33
3,0.184469111,0.039997778,0.862844444,0.097171111,13-Dec-17,"11,082.00","11,059.00","11,490.00","9,231.10",0.09
2,0.207016164,0.037868534,0.862273707,0.099855603,12-Dec-17,"11,072.00","13,594.00","13,604.00","9,949.40",-18.44
1,0.196192832,0.053229391,0.842870968,0.103885305,11-Dec-17,"13,575.00","13,558.00","14,350.00","13,307.00",0.13
0,0.226726154,0.045333333,0.848769231,0.105902564,10-Dec-17,"13,558.00","14,190.00","14,391.00","12,874.30",-4.46
29,0.211332314,0.042135371,0.847908297,0.109995633,9-Dec-17,"14,191.00","13,794.00","14,580.00","13,760.00",2.96
28,0.171862348,0.054619433,0.840578947,0.104797571,8-Dec-17,"13,783.00","13,248.00","14,095.00","12,778.00",3.9
27,0.148699476,0.064479058,0.832013089,0.103479058,7-Dec-17,"13,266.00","14,895.00","14,949.80","12,639.00",-10.94
26,0.131400898,0.068841317,0.824308383,0.106832335,6-Dec-17,"14,896.00","14,426.00","14,896.00","13,338.00",3.28
25,0.218576763,0.041381743,0.853360996,0.105273859,4-Dec-17,"14,423.00","14,902.00","15,355.00","14,122.00",-3.4
24,0.174315789,0.053526316,0.845223684,0.101276316,3-Dec-17,"14,930.00","16,216.00","16,279.00","13,760.00",-7.82
21,0.155245455,0.045206612,0.867057851,0.087702479,2-Dec-17,"16,196.00","17,163.00","17,176.00","15,726.00",-5.62
