Compounds,Neg,Neu,Pos
-0.128,0.148,0.684,0.167
0.1857,0.155,0.616,0.229
0,0,1,0
0.5574,0,0.882,0.118
-0.1027,0.191,0.638,0.17
0,0,1,0
0,0,1,0
0.2732,0.124,0.661,0.215
0.7783,0,0.618,0.382
0,0,1,0
-0.1531,0.25,0.585,0.165
0.4887,0.192,0.47,0.338
0.5859,0,0.345,0.655
0.4767,0,0.693,0.307
-0.5423,0.778,0.222,0
0.4215,0,0.417,0.583
0.4404,0,0.775,0.225
0.6908,0,0.551,0.449
0.8016,0,0.556,0.444
0,0,1,0
0.5093,0,0.477,0.523
0,0,1,0
-0.1027,0.159,0.706,0.135
-0.3597,0.151,0.849,0
-0.2732,0.156,0.736,0.108
0.4926,0,0.653,0.347
-0.4019,0.114,0.886,0
-0.0644,0.207,0.602,0.191
0.4767,0.173,0.432,0.396
0,0,1,0
-0.2732,0.08,0.92,0
0,0,1,0
0.891,0,0.699,0.301
0.7003,0,0.707,0.293
0.7475,0.058,0.678,0.264
0.5984,0,0.435,0.565
0,0,1,0
0,0,1,0
-0.3987,0.287,0.548,0.165
0.7574,0.148,0.128,0.724
-0.296,0.688,0.313,0
-0.2263,0.275,0.725,0
0,0,1,0
0.1779,0.451,0,0.549
0.6696,0,0.785,0.215
0,0.391,0.217,0.391
-0.3182,0.204,0.796,0
0.4215,0,0.641,0.359
-0.1027,0.193,0.643,0.164
0,0,1,0
0,0,1,0
0,0,1,0
0.2384,0.124,0.701,0.175
-0.3182,0.215,0.691,0.095
0,0,1,0
0,0,1,0
0.4939,0,0.878,0.122
0.296,0,0.761,0.239
0.3182,0,0.796,0.204
0.4019,0,0.649,0.351
-0.4215,0.085,0.915,0
-0.3802,0.097,0.903,0
-0.885,0.166,0.811,0.023
-0.2263,0.095,0.905,0
0.8755,0,0.778,0.222
-0.8095,0.238,0.614,0.148
0.7772,0.015,0.895,0.09
0.4019,0.061,0.803,0.136
0,0,1,0
0.5106,0,0.377,0.623
0.4215,0,0.263,0.737
0.5106,0.161,0.474,0.365
0,0,1,0
0,0,1,0
-0.0191,0.133,0.867,0
-0.7684,0.177,0.823,0
-0.8214,0.38,0.62,0
-0.4124,0.44,0.386,0.174
0.3067,0,0.781,0.219
0.6996,0.052,0.794,0.155
0,0,1,0
0.5994,0,0,1
0,0,1,0
0.7178,0,0.539,0.461
0,0,1,0
0.7925,0,0.363,0.637
0.4588,0.13,0.556,0.315
0,0,1,0
0,0,1,0
0,0,1,0
-0.7906,0.235,0.765,0
0,0,1,0
0,0,1,0
0.6331,0,0.757,0.243
0.1943,0.141,0.699,0.16
